State,year_month,PRCP,EVAP,TMIN,TMAX
AL,1998-04,28.36,45.42,6.0,322.0
AL,1998-05,7.93,57.37,-150.0,367.0
AL,1998-06,23.76,69.42,83.0,400.0
AL,1998-07,37.78,60.37,156.0,406.0
AL,1998-08,22.88,57.11,128.0,372.0
AL,1998-09,20.75,51.75,94.0,367.0
AL,1998-10,7.33,35.67,-17.0,328.0
AL,1998-11,13.84,21.82,-39.0,294.0
AL,1998-12,21.56,19.19,-33.0,278.0
AL,1999-01,27.64,22.39,-78.0,256.0
AL,1999-02,18.05,25.56,-72.0,267.0
AL,1999-03,36.33,37.25,-56.0,261.0
AL,1999-04,18.01,52.73,-17.0,328.0
AL,1999-05,20.88,58.1,22.0,328.0
AL,1999-06,36.05,57.46,-6.0,356.0
AL,1999-07,28.39,58.28,167.0,372.0
AL,1999-08,18.18,65.6,0.0,394.0
AL,1999-09,14.23,55.09,17.0,372.0
AL,1999-10,14.13,36.53,-33.0,333.0
AL,1999-11,11.09,25.61,-56.0,283.0
AL,1999-12,19.95,20.43,-67.0,250.0
AL,2000-01,35.59,24.58,-89.0,261.0
AL,2000-02,14.08,30.03,-50.0,261.0
AL,2000-03,33.06,36.87,-56.0,289.0
AL,2000-04,14.7,48.32,-50.0,306.0
AL,2000-05,4.48,66.95,50.0,372.0
AL,2000-06,25.94,64.92,61.0,389.0
AL,2000-07,16.19,74.51,128.0,422.0
AL,2000-08,18.82,64.94,117.0,411.0
AL,2000-09,14.96,48.98,44.0,372.0
AL,2000-10,3.31,40.74,-39.0,322.0
AL,2000-11,48.09,25.42,-67.0,306.0
AL,2000-12,27.42,18.84,-94.0,239.0
AL,2001-01,36.6,26.6,-100.0,239.0
AL,2001-02,16.17,27.04,-50.0,272.0
AL,2001-03,34.26,40.56,-56.0,267.0
AL,2001-04,9.33,51.59,-39.0,317.0
AL,2001-05,13.12,61.67,-6.0,344.0
AL,2001-06,40.55,61.54,83.0,350.0
AL,2001-07,39.18,63.21,11.0,361.0
AL,2001-08,23.74,55.19,111.0,356.0
AL,2001-09,26.89,45.76,44.0,333.0
AL,2001-10,23.81,36.84,-33.0,300.0
AL,2001-11,19.93,31.69,-17.0,289.0
AL,2001-12,10.24,20.97,-44.0,272.0
AL,2002-01,23.57,16.13,-67.0,267.0
AL,2002-02,22.27,27.77,-56.0,267.0
AL,2002-03,29.47,39.83,-56.0,306.0
AL,2002-04,20.32,48.92,-6.0,328.0
AL,2002-05,20.88,63.4,39.0,350.0
AL,2002-06,28.17,61.81,122.0,372.0
AL,2002-07,33.5,61.08,183.0,378.0
AL,2002-08,23.68,59.44,156.0,367.0
AL,2002-09,25.96,44.71,150.0,372.0
AL,2002-10,29.8,31.68,61.0,328.0
AL,2002-11,17.16,24.34,-28.0,283.0
AL,2002-12,17.51,21.14,-89.0,244.0
AL,2003-01,4.75,22.75,-39.0,283.0
AL,2003-02,16.22,22.91,-28.0,267.0
AL,2003-03,25.04,35.3,-67.0,289.0
AL,2003-04,13.98,50.42,-11.0,328.0
AL,2003-05,30.6,55.11,72.0,339.0
AL,2003-06,40.3,55.81,111.0,350.0
AL,2003-07,44.43,53.79,144.0,350.0
AL,2003-08,39.58,51.87,178.0,344.0
AL,2003-09,20.08,47.3,50.0,339.0
AL,2003-10,11.21,32.31,33.0,311.0
AL,2003-11,18.09,26.8,-33.0,294.0
AL,2003-12,19.81,19.93,-39.0,239.0
AL,2004-01,18.92,18.58,-61.0,261.0
AL,2004-02,32.18,22.29,-50.0,244.0
AL,2004-03,9.53,45.79,0.0,306.0
AL,2004-04,17.8,51.72,0.0,317.0
AL,2004-05,31.34,59.84,17.0,356.0
AL,2004-06,48.31,56.35,128.0,350.0
AL,2004-07,25.18,58.39,150.0,367.0
AL,2004-08,26.72,54.07,106.0,367.0
AL,2004-09,26.37,48.96,106.0,339.0
AL,2004-10,18.25,32.07,50.0,322.0
AL,2004-11,36.3,27.75,17.0,300.0
AL,2004-12,32.91,18.82,-33.0,256.0
AL,2005-01,16.24,22.04,-28.0,256.0
AL,2005-02,38.73,25.75,-22.0,267.0
AL,2005-03,37.76,40.65,-22.0,289.0
AL,2005-04,25.37,54.21,-11.0,300.0
AL,2005-05,17.45,59.25,39.0,350.0
AL,2005-06,33.21,61.56,133.0,361.0
AL,2005-07,32.75,62.0,172.0,361.0
AL,2005-08,31.99,51.8,189.0,367.0
AL,2005-09,14.06,54.37,100.0,361.0
AL,2005-10,4.91,37.52,0.0,328.0
AL,2005-11,25.03,29.05,-17.0,306.0
AL,2005-12,28.05,25.42,-33.0,256.0
AL,2006-01,31.66,28.7,-22.0,261.0
AL,2006-02,16.31,29.38,-44.0,261.0
AL,2006-03,13.84,43.98,-6.0,294.0
AL,2006-04,11.74,59.24,28.0,356.0
AL,2006-05,20.01,60.85,44.0,356.0
AL,2006-06,13.72,79.69,106.0,383.0
AL,2006-07,18.74,67.91,144.0,383.0
AL,2006-08,35.88,65.08,189.0,383.0
AL,2006-09,19.34,49.61,50.0,339.0
AL,2006-10,19.81,37.21,11.0,333.0
AL,2006-11,15.11,25.95,-39.0,278.0
AL,2006-12,23.15,22.98,-28.0,261.0
AL,2007-01,37.33,17.08,-11.0,256.0
AL,2007-02,21.22,46.73,-94.0,261.0
AL,2007-03,4.9,42.55,-28.0,311.0
AL,2007-04,28.45,52.57,-44.0,300.0
AL,2007-05,6.24,69.23,50.0,339.0
AL,2007-06,16.26,68.74,94.0,372.0
AL,2007-07,40.38,66.48,50.0,372.0
AL,2007-08,24.93,68.16,167.0,406.0
AL,2007-09,22.57,50.93,89.0,356.0
AL,2007-10,15.17,39.55,56.0,328.0
AL,2007-11,16.47,31.93,-22.0,283.0
AL,2007-12,7.97,18.53,-44.0,278.0
AL,2008-01,37.91,27.65,-61.0,261.0
AL,2008-02,29.1,27.59,-33.0,261.0
AL,2008-03,18.83,39.95,-11.0,283.0
AL,2008-04,17.7,45.09,22.0,306.0
AL,2008-05,22.16,56.91,72.0,333.0
AL,2008-06,24.5,64.46,161.0,350.0
AL,2008-07,31.1,60.09,128.0,361.0
AL,2008-08,58.78,54.4,144.0,372.0
AL,2008-09,22.29,48.04,106.0,339.0
AL,2008-10,14.64,37.64,-6.0,317.0
AL,2008-11,19.96,27.36,-61.0,278.0
AL,2008-12,19.65,25.06,-61.0,261.0
AL,2009-01,21.02,21.53,-22.0,250.0
AL,2009-02,9.28,29.38,-17.0,250.0
AL,2009-03,24.34,42.99,-17.0,289.0
AL,2009-04,24.42,53.26,-6.0,322.0
AL,2009-05,62.24,50.48,83.0,322.0
AL,2009-06,19.81,69.58,150.0,378.0
AL,2009-07,50.37,60.66,167.0,372.0
AL,2009-08,55.24,48.86,72.0,350.0
AL,2009-09,35.12,41.82,100.0,339.0
AL,2009-10,38.15,31.62,28.0,333.0
AL,2009-11,12.91,22.91,-11.0,261.0
AL,2009-12,67.0,16.14,-28.0,250.0
AL,2011-01,31.59,300.48,-83.0,233.0
AL,2011-02,35.76,346.26,-61.0,272.0
AL,2011-03,43.96,309.58,-39.0,306.0
AL,2011-04,33.57,157.83,28.0,322.0
AL,2011-05,5.52,157.23,39.0,361.0
AL,2011-06,15.06,91.11,61.0,389.0
AL,2011-07,44.62,191.72,167.0,372.0
AL,2011-08,12.75,232.03,161.0,378.0
AL,2011-09,33.3,239.0,106.0,367.0
AL,2011-10,3.57,201.93,11.0,322.0
AL,2011-11,23.38,251.89,-44.0,294.0
AL,2011-12,32.89,275.63,-94.0,261.0
AL,2012-01,33.01,274.97,-83.0,261.0
AL,2012-02,29.16,382.92,-56.0,272.0
AL,2012-03,48.24,388.15,-50.0,306.0
AL,2012-04,16.86,285.89,22.0,317.0
AL,2012-05,25.03,357.67,106.0,361.0
AL,2012-06,20.38,287.08,106.0,383.0
AL,2012-07,35.42,369.02,128.0,383.0
AL,2012-08,52.43,347.09,156.0,367.0
AL,2012-09,28.99,303.4,67.0,339.0
AL,2012-10,13.45,296.01,17.0,311.0
AL,2012-11,11.93,378.82,-33.0,294.0
AL,2012-12,47.5,359.38,-39.0,267.0
AL,2013-01,33.49,302.1,-22.0,267.0
AL,2013-02,71.98,348.6,-44.0,256.0
AL,2013-03,26.72,286.22,-33.0,272.0
AL,2013-04,33.0,222.33,-6.0,306.0
AL,2013-05,9.79,160.56,50.0,328.0
AL,2013-06,36.54,149.96,178.0,350.0
AL,2013-07,85.32,196.96,161.0,372.0
AL,2013-08,58.55,200.24,161.0,356.0
AL,2013-09,22.29,172.58,144.0,344.0
AL,2013-10,8.7,147.14,6.0,317.0
AL,2013-11,16.66,97.13,-39.0,283.0
AL,2013-12,54.18,179.9,-28.0,278.0
AL,2014-01,28.29,171.71,-100.0,228.0
AL,2014-02,53.17,243.26,-22.0,272.0
AL,2014-03,21.69,217.69,-17.0,267.0
AL,2014-04,71.28,206.5,17.0,311.0
AL,2014-05,19.02,206.7,67.0,322.0
AL,2014-06,35.95,215.57,133.0,344.0
AL,2014-07,20.88,94.12,133.0,356.0
AL,2014-08,29.89,180.38,156.0,367.0
AL,2014-09,32.92,187.95,128.0,356.0
AL,2014-10,39.49,188.53,44.0,333.0
AL,2014-11,11.26,182.3,-50.0,278.0
AL,2014-12,2.68,149.38,-11.0,261.0
AL,2015-01,19.49,127.11,-94.0,256.0
AL,2015-02,38.28,129.83,-50.0,256.0
AL,2015-03,29.04,291.0,-39.0,300.0
AL,2015-04,45.12,255.38,28.0,322.0
AL,2015-05,28.24,75.2,44.0,339.0
AL,2015-06,44.06,231.94,183.0,367.0
AL,2015-07,38.22,246.32,189.0,361.0
AL,2015-08,39.8,178.47,139.0,361.0
AL,2015-09,39.17,184.03,117.0,344.0
AL,2015-10,16.08,160.73,39.0,317.0
AL,2015-11,49.15,200.96,0.0,317.0
AL,2015-12,82.44,140.64,-6.0,272.0
AL,2016-01,48.32,164.55,-44.0,278.0
AL,2016-02,50.49,177.46,-44.0,256.0
AL,2016-03,38.59,238.72,6.0,294.0
AL,2016-04,51.38,217.23,50.0,311.0
AL,2016-05,29.44,179.18,78.0,339.0
AL,2016-06,42.29,221.65,156.0,361.0
AL,2016-07,22.64,137.17,167.0,367.0
AL,2016-08,38.02,183.94,206.0,356.0
AL,2016-09,15.98,174.49,122.0,356.0
AL,2016-10,0.55,185.03,50.0,322.0
AL,2016-11,2.39,164.89,-28.0,311.0
AL,2016-12,57.78,19.78,-11.0,289.0
AL,2017-01,21.45,27.75,-17.0,272.0
AL,2017-02,47.36,32.34,0.0,278.0
AL,2017-03,17.27,46.83,-11.0,306.0
AL,2017-04,19.78,65.18,44.0,311.0
AL,2017-05,45.4,66.38,78.0,339.0
AL,2017-06,51.78,44.5,161.0,333.0
AL,2017-07,21.2,59.93,200.0,356.0
AL,2017-08,22.52,58.4,167.0,350.0
AL,2017-09,14.67,51.69,117.0,339.0
AL,2017-10,11.38,40.69,22.0,339.0
AL,2017-11,3.33,28.35,-6.0,294.0
AL,2017-12,25.92,15.84,-22.0,267.0
AL,2018-01,18.68,127.76,-78.0,244.0
AL,2018-02,34.61,269.02,-11.0,294.0
AL,2018-03,33.75,243.85,-11.0,283.0
AL,2018-04,26.26,227.86,17.0,289.0
AL,2018-05,64.22,297.75,100.0,350.0
AL,2018-06,39.68,317.58,178.0,356.0
AL,2018-07,72.98,346.37,206.0,356.0
AL,2018-08,58.72,425.92,183.0,344.0
AL,2018-09,73.13,281.43,200.0,350.0
AL,2018-10,47.31,255.35,67.0,333.0
AL,2018-11,50.18,339.66,-22.0,283.0
AL,2018-12,73.95,292.77,-28.0,250.0
AL,2019-01,61.58,335.28,-39.0,267.0
AL,2019-02,27.06,341.31,-6.0,300.0
AL,2019-03,21.88,301.3,-28.0,278.0
AL,2019-04,32.32,315.88,39.0,311.0
AL,2019-05,16.24,251.96,122.0,350.0
AL,2019-06,31.31,288.86,156.0,378.0
AL,2019-07,56.44,343.9,178.0,367.0
AL,2019-08,51.54,305.58,178.0,372.0
AL,2019-09,2.66,312.08,161.0,378.0
AL,2019-10,37.84,436.65,50.0,367.0
AL,2019-11,22.82,259.82,-33.0,278.0
AL,2019-12,50.0,292.55,-28.0,267.0
AL,2020-01,26.55,366.92,-44.0,256.0
AL,2020-02,107.28,539.28,-11.0,272.0
AL,2020-03,19.1,406.17,11.0,317.0
AL,2020-04,48.54,289.66,50.0,317.0
AL,2020-05,37.08,350.75,72.0,333.0
AL,2020-06,32.0,283.38,156.0,350.0
AL,2020-07,53.52,49.88,183.0,356.0
AL,2020-08,35.67,50.57,178.0,344.0
AL,2020-09,27.24,44.12,150.0,356.0
AL,2020-10,46.97,35.97,50.0,328.0
AL,2020-11,12.17,26.27,11.0,289.0
AL,2020-12,15.33,17.56,-44.0,233.0
AL,2021-01,19.58,53.42,-50.0,244.0
AL,2021-02,52.86,325.86,-28.0,261.0
AL,2021-03,41.43,238.83,17.0,278.0
AL,2021-04,44.32,275.76,22.0,294.0
AL,2021-05,43.5,311.98,106.0,328.0
AL,2021-06,36.37,247.61,156.0,350.0
AL,2021-07,86.79,265.92,194.0,350.0
AL,2021-08,42.45,41.39,194.0,350.0
AL,2021-09,44.48,41.21,117.0,333.0
AL,2021-10,10.75,32.75,78.0,311.0
AL,2021-11,7.87,22.8,11.0,256.0
AL,2021-12,17.19,14.45,33.0,272.0
AR,1992-01,19.15,9.65,-33.0,167.0
AR,1992-02,19.16,17.66,-22.0,228.0
AR,1992-03,15.69,31.39,-44.0,278.0
AR,1992-04,26.73,44.92,-28.0,300.0
AR,1992-05,29.36,53.13,11.0,328.0
AR,1992-06,45.49,58.74,94.0,356.0
AR,1992-07,26.36,62.89,156.0,361.0
AR,1992-08,9.24,48.19,89.0,367.0
AR,1992-09,20.45,40.93,17.0,344.0
AR,1992-10,12.64,33.38,6.0,311.0
AR,1992-11,33.29,19.53,-44.0,272.0
AR,1992-12,20.03,10.09,-39.0,183.0
AR,1993-01,24.03,8.63,-33.0,194.0
AR,1993-02,14.69,18.38,-33.0,233.0
AR,1993-03,13.53,27.26,-28.0,294.0
AR,1993-04,37.44,40.52,-6.0,289.0
AR,1993-05,23.62,47.83,56.0,322.0
AR,1993-06,28.58,57.88,83.0,350.0
AR,1993-07,5.48,71.12,156.0,400.0
AR,1993-08,17.89,55.0,133.0,406.0
AR,1993-09,31.26,41.57,39.0,367.0
AR,1993-10,22.59,27.72,-33.0,311.0
AR,1993-11,41.41,16.48,-61.0,272.0
AR,1994-03,27.47,34.02,-33.0,283.0
AR,1994-04,28.92,43.8,-22.0,306.0
AR,1994-05,28.79,51.3,22.0,317.0
AR,1994-06,31.67,58.42,139.0,378.0
AR,1994-07,41.78,55.29,139.0,367.0
AR,1994-08,15.66,53.03,111.0,350.0
AR,1994-09,18.39,42.6,39.0,350.0
AR,1994-10,24.39,27.81,-11.0,333.0
AR,1994-11,27.56,18.15,-28.0,283.0
AR,1994-12,19.64,11.83,-33.0,206.0
AR,1995-02,17.38,21.9,-33.0,278.0
AR,1995-03,20.74,36.49,-56.0,322.0
AR,1995-04,33.41,44.78,-11.0,317.0
AR,1995-05,28.91,47.08,39.0,339.0
AR,1995-06,21.7,54.84,44.0,344.0
AR,1995-07,17.02,60.37,150.0,383.0
AR,1995-08,7.14,60.34,106.0,406.0
AR,1995-09,15.25,41.4,28.0,400.0
AR,1995-10,16.8,36.78,-33.0,333.0
AR,1995-11,23.75,20.88,-44.0,283.0
AR,1995-12,28.79,15.64,-39.0,250.0
AR,1996-01,13.47,18.82,-39.0,233.0
AR,1996-02,24.46,24.49,-50.0,306.0
AR,1996-03,29.83,32.79,-44.0,267.0
AR,1996-04,26.86,48.09,-44.0,322.0
AR,1996-05,32.51,61.07,11.0,350.0
AR,1996-06,32.66,55.09,122.0,367.0
AR,1996-07,24.96,60.75,128.0,383.0
AR,1996-08,25.12,48.87,133.0,356.0
AR,1996-09,17.16,36.99,56.0,339.0
AR,1996-10,17.16,27.89,-22.0,300.0
AR,1996-11,17.1,12.57,-28.0,256.0
AR,1996-12,18.33,8.35,-39.0,256.0
AR,1997-01,17.43,12.74,-22.0,250.0
AR,1997-02,57.08,13.83,-33.0,222.0
AR,1997-03,23.34,32.25,-50.0,311.0
AR,1997-04,35.45,43.22,-17.0,289.0
AR,1997-05,20.41,54.92,33.0,339.0
AR,1997-06,24.9,53.15,100.0,367.0
AR,1997-07,13.69,64.41,122.0,400.0
AR,1997-08,10.68,54.56,133.0,378.0
