STATE,TOTAL_FIRE_SIZE,PRCP,EVAP,TMIN,TMAX,MEAN_ELEVATION,LAND_AREA,WATER_AREA,TOTAL_AREA,PERCENTAGE_FEDERAL_LAND,URBANIZATION_RATE,MONTH_SIN
WA,0.4,24.118083750916377,25.32701201333193,-75.2032115209022,237.33785560406324,520,66456,4842,71298,28.6,83.4,0.49999999999999994
AL,48.0,45.18,18.29,-28.0,217.0,150,50645,1775,52420,2.7,57.7,0.49999999999999994
AR,20.1,19.15,9.65,-33.0,167.0,200,52035,1143,53179,9.4,55.5,0.49999999999999994
WI,13.4,24.118083750916377,25.32701201333193,-75.2032115209022,237.33785560406324,320,54158,11339,65496,5.3,71.2,0.49999999999999994
WV,161.8,24.118083750916377,25.32701201333193,-75.2032115209022,237.33785560406324,460,24038,192,24230,7.4,44.6,0.49999999999999994
SC,3155.5,33.88,19.84,-33.0,211.0,110,30061,1960,32020,4.5,67.9,0.49999999999999994
MS,5395.1,43.24,18.67,-33.0,194.0,90,46923,1509,48432,5.1,57.7,0.49999999999999994
NY,3.1,24.118083750916377,25.32701201333193,-75.2032115209022,237.33785560406324,300,47126,7429,54555,0.8,87.4,0.49999999999999994
MO,871.0,24.118083750916377,25.32701201333193,-75.2032115209022,237.33785560406324,240,68742,965,69707,3.8,69.5,0.49999999999999994
MA,0.1,24.118083750916377,25.32701201333193,-75.2032115209022,237.33785560406324,150,7800,2754,10554,1.2,91.3,0.49999999999999994
ME,0.1,24.118083750916377,25.32701201333193,-75.2032115209022,237.33785560406324,180,30843,4537,35380,1.5,38.6,0.49999999999999994
KY,21.5,24.118083750916377,25.32701201333193,-75.2032115209022,237.33785560406324,230,39486,921,40408,4.3,58.7,0.49999999999999994
MN,2.0,24.118083750916377,25.32701201333193,-75.2032115209022,237.33785560406324,370,79627,7309,86936,6.8,71.9,0.49999999999999994
MD,1020.1,24.118083750916377,25.32701201333193,-75.2032115209022,237.33785560406324,110,9707,2699,12406,3.2,85.6,0.49999999999999994
NM,1679.6,2.86,31.9,-28.0,222.0,300,121298,292,121590,31.7,74.5,0.8660254037844386
GA,5620.29,43.08,24.23,-50.0,250.0,180,57513,1912,59425,12.9,74.1,0.8660254037844386
WA,0.4,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,520,66456,4842,71298,28.6,83.4,0.8660254037844386
VA,64.3,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,290,39490,3285,42775,9.3,75.6,0.8660254037844386
NV,0.9,20.59,55.41,17.0,222.0,1680,109781,791,110572,80.1,94.1,0.8660254037844386
NY,24.0,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,300,47126,7429,54555,0.8,87.4,0.8660254037844386
LA,899.4,34.19,27.76,-33.0,261.0,30,43204,9174,52378,4.7,71.5,0.8660254037844386
FL,16116.6,24.14,31.81,-28.0,317.0,30,53625,12133,65758,12.9,91.5,0.8660254037844386
MI,3.0,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,270,56539,40175,96714,10.0,73.5,0.8660254037844386
OH,8.5,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,260,40861,3965,44826,1.2,76.3,0.8660254037844386
NJ,113.0,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,80,7354,1368,8723,3.6,93.8,0.8660254037844386
KY,250.3,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,230,39486,921,40408,4.3,58.7,0.8660254037844386
OR,200.4,53.12,16.6,-17.0,194.0,1010,95988,2391,98379,52.3,80.5,0.8660254037844386
OK,10889.1,21.68,26.0,-33.0,250.0,400,68595,1304,69899,1.5,66.0,0.8660254037844386
MN,1.0,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,370,79627,7309,86936,6.8,71.9,0.8660254037844386
AZ,23.7,12.87,33.15,-22.0,283.0,1250,113594,396,113990,38.6,89.3,0.8660254037844386
CT,19.85,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,150,4842,701,5543,0.3,86.3,0.8660254037844386
PA,1.0,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,340,44743,1312,46054,2.2,76.5,0.8660254037844386
SC,7528.2,29.71,24.8,-67.0,256.0,110,30061,1960,32020,4.5,67.9,0.8660254037844386
WY,3247.6,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,2040,97093,720,97813,46.7,62.0,0.8660254037844386
ME,0.1,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,180,30843,4537,35380,1.5,38.6,0.8660254037844386
CO,20.6,4.36,27.71,-222.0,228.0,2070,103642,452,104094,36.2,86.0,0.8660254037844386
MD,140.0,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,110,9707,2699,12406,3.2,85.6,0.8660254037844386
SD,203.9,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,670,75811,1305,77116,5.4,57.2,0.8660254037844386
TN,77.2,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,270,41235,909,42144,4.8,66.2,0.8660254037844386
TX,2096.0,27.25,31.68,-39.0,306.0,520,261232,7365,268596,1.9,83.7,0.8660254037844386
KS,0.1,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,610,81759,520,82278,0.5,72.3,0.8660254037844386
HI,4721.8,24.83,49.21,128.0,278.0,920,6423,4509,10932,20.2,86.1,0.8660254037844386
CA,225.5,62.74,21.38,-28.0,306.0,880,155779,7916,163695,45.4,94.2,0.8660254037844386
MT,366.51,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,1040,145546,1494,147040,29.0,53.4,0.8660254037844386
NC,5453.0,11.0,24.13,-61.0,222.0,210,48618,5201,53819,7.8,66.7,0.8660254037844386
AR,439.5,19.16,17.66,-22.0,228.0,200,52035,1143,53179,9.4,55.5,0.8660254037844386
MO,7081.2,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,240,68742,965,69707,3.8,69.5,0.8660254037844386
IN,17.9,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,242,35826,593,36420,1.7,71.2,0.8660254037844386
MS,15566.8,34.82,24.51,-33.0,244.0,90,46923,1509,48432,5.1,57.7,0.8660254037844386
NH,1.5,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,300,8953,397,9349,14.0,58.3,0.8660254037844386
WI,39.9,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,320,54158,11339,65496,5.3,71.2,0.8660254037844386
ID,0.3,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,1520,82643,926,83569,61.9,69.2,0.8660254037844386
WV,1406.6,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,460,24038,192,24230,7.4,44.6,0.8660254037844386
ND,50.0,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,580,69001,1698,70698,3.9,61.0,0.8660254037844386
AL,241.8,35.2,25.85,-39.0,256.0,150,50645,1775,52420,2.7,57.7,0.8660254037844386
IL,77.1,23.649416245305364,30.892566369252705,-49.43965971905269,262.8879402666285,180,55519,2395,57914,1.2,71.2,0.8660254037844386
PA,1.0,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,340,44743,1312,46054,2.2,76.5,1.0
WI,178.34,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,320,54158,11339,65496,5.3,71.2,1.0
CT,47.6,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,150,4842,701,5543,0.3,86.3,1.0
ID,144.6,0.0,45.5,-22.0,128.0,1520,82643,926,83569,61.9,69.2,1.0
ME,161.65,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,180,30843,4537,35380,1.5,38.6,1.0
AZ,57.6,16.63,41.98,-11.0,294.0,1250,113594,396,113990,38.6,89.3,1.0
SC,10292.4,33.31,33.49,-56.0,289.0,110,30061,1960,32020,4.5,67.9,1.0
MN,2422.89,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,370,79627,7309,86936,6.8,71.9,1.0
WY,1957.3,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,2040,97093,720,97813,46.7,62.0,1.0
MT,3585.74,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,1040,145546,1494,147040,29.0,53.4,1.0
OR,1015.21,11.89,22.29,-56.0,222.0,1010,95988,2391,98379,52.3,80.5,1.0
CO,68.6,14.81,24.38,-33.0,194.0,2070,103642,452,104094,36.2,86.0,1.0
IL,16.0,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,180,55519,2395,57914,1.2,71.2,1.0
LA,351.5,22.43,35.22,-28.0,294.0,30,43204,9174,52378,4.7,71.5,1.0
SD,2881.8,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,670,75811,1305,77116,5.4,57.2,1.0
TX,1631.8,18.27,44.98,-156.0,344.0,520,261232,7365,268596,1.9,83.7,1.0
MS,22106.2,22.27,34.44,-100.0,272.0,90,46923,1509,48432,5.1,57.7,1.0
TN,41.8,29.341999999999995,27.360000000000003,26.8,245.4,270,41235,909,42144,4.8,66.2,1.0
MA,1.0,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,150,7800,2754,10554,1.2,91.3,1.0
UT,20.1,19.3,23.93,-22.0,183.0,1860,82170,2727,84897,63.1,89.8,1.0
IN,41.3,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,242,35826,593,36420,1.7,71.2,1.0
MO,10063.9,19.36888888888889,34.85111111111111,-38.22222222222222,246.22222222222223,240,68742,965,69707,3.8,69.5,1.0
HI,50.5,21.31,58.44,156.0,289.0,920,6423,4509,10932,20.2,86.1,1.0
AR,217.8,15.69,31.39,-44.0,278.0,200,52035,1143,53179,9.4,55.5,1.0
NJ,412.0,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,80,7354,1368,8723,3.6,93.8,1.0
NH,21.963,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,300,8953,397,9349,14.0,58.3,1.0
NM,21714.55,2.42,60.56,-22.0,294.0,300,121298,292,121590,31.7,74.5,1.0
WA,871.8,13.73,25.375,-36.0,194.5,520,66456,4842,71298,28.6,83.4,1.0
GA,9071.63,33.31,36.61,-44.0,283.0,180,57513,1912,59425,12.9,74.1,1.0
KY,108.2,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,230,39486,921,40408,4.3,58.7,1.0
MI,2.2,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,270,56539,40175,96714,10.0,73.5,1.0
NE,351.3,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,790,76824,524,77348,1.1,73.0,1.0
NV,90.2,18.62,46.48,-56.0,233.0,1680,109781,791,110572,80.1,94.1,1.0
CA,1885.4,27.77,27.69,6.0,317.0,880,155779,7916,163695,45.4,94.2,1.0
WV,1844.95,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,460,24038,192,24230,7.4,44.6,1.0
KS,3.0,47.21,29.71,-22.0,256.0,610,81759,520,82278,0.5,72.3,1.0
IA,84.8,25.255000000000003,37.2875,-18.25,225.25,340,55857,416,56273,0.3,63.2,1.0
OK,20567.2,16.21,40.52,-56.0,322.0,400,68595,1304,69899,1.5,66.0,1.0
NC,5012.0,32.09,35.6,-44.0,250.0,210,48618,5201,53819,7.8,66.7,1.0
AL,92.7,21.85,38.96,-39.0,278.0,150,50645,1775,52420,2.7,57.7,1.0
VA,110.3,23.857499999999998,30.575,12.5,209.75,290,39490,3285,42775,9.3,75.6,1.0
FL,8877.9,14.63,43.88,6.0,322.0,30,53625,12133,65758,12.9,91.5,1.0
NY,130.5,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,300,47126,7429,54555,0.8,87.4,1.0
ND,1003.6,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,580,69001,1698,70698,3.9,61.0,1.0
OH,25.2,20.119445707441695,41.75770671242379,-32.4809710732672,266.8185721438395,260,40861,3965,44826,1.2,76.3,1.0
TX,950.7,16.74,53.09,-17.0,372.0,520,261232,7365,268596,1.9,83.7,0.8660254037844387
AR,454.2,26.73,44.92,-28.0,300.0,200,52035,1143,53179,9.4,55.5,0.8660254037844387
LA,101.0,21.29,45.92,-11.0,311.0,30,43204,9174,52378,4.7,71.5,0.8660254037844387
KY,123.2,12.62,38.88,-56.0,311.0,230,39486,921,40408,4.3,58.7,0.8660254037844387
AZ,3143.9,3.58,77.55,22.0,406.0,1250,113594,396,113990,38.6,89.3,0.8660254037844387
UT,196.2,1.95,56.03,-44.0,344.0,1860,82170,2727,84897,63.1,89.8,0.8660254037844387
WI,629.15,20.431466283498636,51.01195361883487,-33.00862099229746,297.8594432419432,320,54158,11339,65496,5.3,71.2,0.8660254037844387
VA,7.0,26.97,36.77,-33.0,300.0,290,39490,3285,42775,9.3,75.6,0.8660254037844387
WA,800.9,10.43,41.55,-44.0,278.0,520,66456,4842,71298,28.6,83.4,0.8660254037844387
MO,7143.0,32.71,36.73,-17.0,283.0,240,68742,965,69707,3.8,69.5,0.8660254037844387
OK,5918.1,17.66,48.36,-39.0,311.0,400,68595,1304,69899,1.5,66.0,0.8660254037844387
CA,7364.5,12.22,54.24,-17.0,422.0,880,155779,7916,163695,45.4,94.2,0.8660254037844387
MS,6952.5,19.42,47.29,-44.0,317.0,90,46923,1509,48432,5.1,57.7,0.8660254037844387
IL,127.4,33.22785714285714,42.77428571428572,-27.785714285714285,282.85714285714283,180,55519,2395,57914,1.2,71.2,0.8660254037844387
MT,5616.74,17.9,49.14,-67.0,306.0,1040,145546,1494,147040,29.0,53.4,0.8660254037844387
ID,812.3,8.8,50.69,-67.0,306.0,1520,82643,926,83569,61.9,69.2,0.8660254037844387
NC,5963.7,15.98,44.36,-28.0,300.0,210,48618,5201,53819,7.8,66.7,0.8660254037844387
IN,25.9,26.87,29.08,-56.0,289.0,242,35826,593,36420,1.7,71.2,0.8660254037844387
ND,1255.7,10.817142857142857,38.135714285714286,-80.28571428571429,239.0,580,69001,1698,70698,3.9,61.0,0.8660254037844387
IA,0.5,40.39,40.76,-33.0,306.0,340,55857,416,56273,0.3,63.2,0.8660254037844387
NE,361.3,3.62,48.46,-133.0,306.0,790,76824,524,77348,1.1,73.0,0.8660254037844387
MN,10966.37,20.049090909090907,78.51727272727273,-7.545454545454546,238.45454545454547,370,79627,7309,86936,6.8,71.9,0.8660254037844387
NH,69.685,24.415,32.986000000000004,-13.9,279.5,300,8953,397,9349,14.0,58.3,0.8660254037844387
HI,60.6,2.0,65.6,150.0,306.0,920,6423,4509,10932,20.2,86.1,0.8660254037844387
NJ,787.85,30.208999999999996,37.909000000000006,-3.4,263.3,80,7354,1368,8723,3.6,93.8,0.8660254037844387
NM,4044.85,3.85,71.65,-72.0,350.0,300,121298,292,121590,31.7,74.5,0.8660254037844387
MA,3.0,20.431466283498636,51.01195361883487,-33.00862099229746,297.8594432419432,150,7800,2754,10554,1.2,91.3,0.8660254037844387
GA,4207.72,17.21,44.76,-50.0,317.0,180,57513,1912,59425,12.9,74.1,0.8660254037844387
NV,326.3,0.8,71.95,-117.0,350.0,1680,109781,791,110572,80.1,94.1,0.8660254037844387
NY,808.0,24.3725,55.6,-26.5,240.0,300,47126,7429,54555,0.8,87.4,0.8660254037844387
FL,7757.7,16.11,54.69,6.0,322.0,30,53625,12133,65758,12.9,91.5,0.8660254037844387
OH,62.0,25.0,30.0,-28.0,261.0,260,40861,3965,44826,1.2,76.3,0.8660254037844387
DE,121.0,15.65,39.49,-6.0,289.0,20,1949,540,2489,2.4,82.6,0.8660254037844387
OR,18.61,28.69,32.63,-72.0,294.0,1010,95988,2391,98379,52.3,80.5,0.8660254037844387
CT,226.05,20.431466283498636,51.01195361883487,-33.00862099229746,297.8594432419432,150,4842,701,5543,0.3,86.3,0.8660254037844387
KS,74.0,5.67,52.64,-83.0,322.0,610,81759,520,82278,0.5,72.3,0.8660254037844387
ME,789.75,20.431466283498636,51.01195361883487,-33.00862099229746,297.8594432419432,180,30843,4537,35380,1.5,38.6,0.8660254037844387
PA,2.4,24.73,25.88,-50.0,261.0,340,44743,1312,46054,2.2,76.5,0.8660254037844387
SC,6372.6,18.38,47.11,-83.0,322.0,110,30061,1960,32020,4.5,67.9,0.8660254037844387
CO,2936.2,6.06,59.42,-94.0,356.0,2070,103642,452,104094,36.2,86.0,0.8660254037844387
SD,2816.9,7.21,48.82,-61.0,350.0,670,75811,1305,77116,5.4,57.2,0.8660254037844387
TN,64.1,18.07,44.54,-72.0,317.0,270,41235,909,42144,4.8,66.2,0.8660254037844387
MI,334.4,50.88,19.0,-22.0,250.0,270,56539,40175,96714,10.0,73.5,0.8660254037844387
WV,1713.2,20.431466283498636,51.01195361883487,-33.00862099229746,297.8594432419432,460,24038,192,24230,7.4,44.6,0.8660254037844387
AK,10.1,0.0,45.0,-17.0,189.0,580,570641,94743,665384,60.9,64.9,0.8660254037844387
WY,1216.65,20.431466283498636,51.01195361883487,-33.00862099229746,297.8594432419432,2040,97093,720,97813,46.7,62.0,0.8660254037844387
AL,610.4,17.51,50.48,-33.0,317.0,150,50645,1775,52420,2.7,57.7,0.8660254037844387
HI,2820.0,16.66,68.23,161.0,317.0,920,6423,4509,10932,20.2,86.1,0.49999999999999994
SC,1169.9,26.54,52.35,28.0,344.0,110,30061,1960,32020,4.5,67.9,0.49999999999999994
MA,0.1,10.84,24.39,0.0,333.0,150,7800,2754,10554,1.2,91.3,0.49999999999999994
TN,85.7,24.65,46.7,6.0,317.0,270,41235,909,42144,4.8,66.2,0.49999999999999994
GA,2915.82,10.55,53.8,50.0,344.0,180,57513,1912,59425,12.9,74.1,0.49999999999999994
CT,167.15,15.26,31.81,-22.0,294.0,150,4842,701,5543,0.3,86.3,0.49999999999999994
KY,0.1,28.5,38.45,0.0,322.0,230,39486,921,40408,4.3,58.7,0.49999999999999994
AK,4309.5,5.36,44.17,-56.0,233.0,580,570641,94743,665384,60.9,64.9,0.49999999999999994
IN,152.6,18.04,45.05,-6.0,311.0,242,35826,593,36420,1.7,71.2,0.49999999999999994
LA,206.1,21.77,51.63,44.0,333.0,30,43204,9174,52378,4.7,71.5,0.49999999999999994
MO,997.3,20.2,47.73,-17.0,317.0,240,68742,965,69707,3.8,69.5,0.49999999999999994
AL,204.9,15.44,60.04,39.0,328.0,150,50645,1775,52420,2.7,57.7,0.49999999999999994
WI,1104.83,18.32,52.63,-17.0,294.0,320,54158,11339,65496,5.3,71.2,0.49999999999999994
MT,7229.57,13.57,58.48,-28.0,350.0,1040,145546,1494,147040,29.0,53.4,0.49999999999999994
NE,511.0,12.39,72.03,-22.0,356.0,790,76824,524,77348,1.1,73.0,0.49999999999999994
NV,882.1,0.88,96.02,-11.0,350.0,1680,109781,791,110572,80.1,94.1,0.49999999999999994
SD,550.35,15.4,70.9,-39.0,394.0,670,75811,1305,77116,5.4,57.2,0.49999999999999994
MS,5252.2,10.76,59.79,28.0,339.0,90,46923,1509,48432,5.1,57.7,0.49999999999999994
PA,54.8,28.02,38.59,-28.0,322.0,340,44743,1312,46054,2.2,76.5,0.49999999999999994
CO,94.2,13.32,63.71,-39.0,356.0,2070,103642,452,104094,36.2,86.0,0.49999999999999994
IL,12.0,18.16,52.08,-22.0,322.0,180,55519,2395,57914,1.2,71.2,0.49999999999999994
WY,323.9,12.99,54.9,-33.0,344.0,2040,97093,720,97813,46.7,62.0,0.49999999999999994
NC,4847.4,27.11,45.49,22.0,328.0,210,48618,5201,53819,7.8,66.7,0.49999999999999994
ND,685.9,11.55,62.71,-44.0,350.0,580,69001,1698,70698,3.9,61.0,0.49999999999999994
NY,1036.4,21.0,43.46,-28.0,322.0,300,47126,7429,54555,0.8,87.4,0.49999999999999994
NH,51.073,15.77,42.13,-6.0,333.0,300,8953,397,9349,14.0,58.3,0.49999999999999994
NJ,9540.8,17.71,41.36,11.0,339.0,80,7354,1368,8723,3.6,93.8,0.49999999999999994
VA,163.3,38.28,34.88,22.0,322.0,290,39490,3285,42775,9.3,75.6,0.49999999999999994
FL,28145.2,8.54,64.32,56.0,350.0,30,53625,12133,65758,12.9,91.5,0.49999999999999994
KS,8.7,16.27,75.25,-44.0,367.0,610,81759,520,82278,0.5,72.3,0.49999999999999994
AZ,4829.5,15.61,83.8,89.0,383.0,1250,113594,396,113990,38.6,89.3,0.49999999999999994
CA,12041.2,1.16,82.86,-6.0,439.0,880,155779,7916,163695,45.4,94.2,0.49999999999999994
DE,3.0,21.75,42.09,6.0,333.0,20,1949,540,2489,2.4,82.6,0.49999999999999994
MI,1590.0,8.42,43.37,-44.0,300.0,270,56539,40175,96714,10.0,73.5,0.49999999999999994
VT,270.0,17.16,47.81,-28.0,322.0,300,9217,400,9616,7.8,35.1,0.49999999999999994
NM,2608.7,20.59,69.86,-17.0,372.0,300,121298,292,121590,31.7,74.5,0.49999999999999994
WA,3246.7,1.63,66.4,-28.0,350.0,520,66456,4842,71298,28.6,83.4,0.49999999999999994
UT,289.5,9.1,74.02,-17.0,350.0,1860,82170,2727,84897,63.1,89.8,0.49999999999999994
MN,15085.81,11.68,84.21,-17.0,333.0,370,79627,7309,86936,6.8,71.9,0.49999999999999994
WV,728.4,37.45,41.32,-6.0,322.0,460,24038,192,24230,7.4,44.6,0.49999999999999994
TX,301.4,31.8,56.27,33.0,372.0,520,261232,7365,268596,1.9,83.7,0.49999999999999994
OR,2598.88,2.87,62.32,-39.0,344.0,1010,95988,2391,98379,52.3,80.5,0.49999999999999994
AR,18.3,29.36,53.13,11.0,328.0,200,52035,1143,53179,9.4,55.5,0.49999999999999994
ID,3406.0,2.33,73.19,-28.0,339.0,1520,82643,926,83569,61.9,69.2,0.49999999999999994
OK,926.8,37.06,58.57,17.0,361.0,400,68595,1304,69899,1.5,66.0,0.49999999999999994
ME,2528.36,28.525454545454547,38.98545454545455,-38.81818181818182,284.45454545454544,180,30843,4537,35380,1.5,38.6,0.49999999999999994
WY,198.05,22.29,63.98,-11.0,333.0,2040,97093,720,97813,46.7,62.0,1.2246467991473532e-16
MT,3373.64,21.64,63.14,-6.0,383.0,1040,145546,1494,147040,29.0,53.4,1.2246467991473532e-16
ID,28517.3,10.9,71.3,-6.0,383.0,1520,82643,926,83569,61.9,69.2,1.2246467991473532e-16
OK,2.9,46.71,58.99,78.0,383.0,400,68595,1304,69899,1.5,66.0,1.2246467991473532e-16
OR,21571.77,10.51,66.47,0.0,400.0,1010,95988,2391,98379,52.3,80.5,1.2246467991473532e-16
PA,0.3,18.5,43.67,17.0,311.0,340,44743,1312,46054,2.2,76.5,1.2246467991473532e-16
CT,0.8,67.93,34.4,61.0,278.0,150,4842,701,5543,0.3,86.3,1.2246467991473532e-16
MO,49.0,30.39,57.65,56.0,356.0,240,68742,965,69707,3.8,69.5,1.2246467991473532e-16
CO,577.1,19.09,67.7,-33.0,361.0,2070,103642,452,104094,36.2,86.0,1.2246467991473532e-16
WA,41033.8,10.08,77.76,22.0,406.0,520,66456,4842,71298,28.6,83.4,1.2246467991473532e-16
ME,906.13,19.81,51.58,28.0,289.0,180,30843,4537,35380,1.5,38.6,1.2246467991473532e-16
KS,142.5,36.36,60.0,72.0,372.0,610,81759,520,82278,0.5,72.3,1.2246467991473532e-16
AZ,19730.45,1.58,106.93,-28.0,428.0,1250,113594,396,113990,38.6,89.3,1.2246467991473532e-16
MI,846.5,18.21,56.31,6.0,328.0,270,56539,40175,96714,10.0,73.5,1.2246467991473532e-16
UT,1801.26,4.05,94.8,11.0,394.0,1860,82170,2727,84897,63.1,89.8,1.2246467991473532e-16
TX,110.2,30.36,75.56,56.0,422.0,520,261232,7365,268596,1.9,83.7,1.2246467991473532e-16
SC,174.9,41.39,50.04,78.0,350.0,110,30061,1960,32020,4.5,67.9,1.2246467991473532e-16
AR,64.0,45.49,58.74,94.0,356.0,200,52035,1143,53179,9.4,55.5,1.2246467991473532e-16
CA,29892.0,9.45,84.54,-83.0,494.0,880,155779,7916,163695,45.4,94.2,1.2246467991473532e-16
MA,1.0,29.217142857142854,32.13285714285714,50.0,349.2857142857143,150,7800,2754,10554,1.2,91.3,1.2246467991473532e-16
IN,5.7,14.7,54.4,17.0,356.0,242,35826,593,36420,1.7,71.2,1.2246467991473532e-16
WI,172.17,10.19,55.48,11.0,328.0,320,54158,11339,65496,5.3,71.2,1.2246467991473532e-16
SD,40.8,24.03,57.33,0.0,322.0,670,75811,1305,77116,5.4,57.2,1.2246467991473532e-16
MS,464.0,51.06,66.25,72.0,361.0,90,46923,1509,48432,5.1,57.7,1.2246467991473532e-16
HI,40.0,4.58,81.51,200.0,322.0,920,6423,4509,10932,20.2,86.1,1.2246467991473532e-16
