STATE,PERIOD,TOTAL_FIRE_SIZE,PRCP,EVAP,TMIN,TMAX,MEAN_ELEVATION,LAND_AREA,WATER_AREA,TOTAL_AREA,PERCENTAGE_FEDERAL_LAND,URBANIZATION_RATE
AK,2001-08,6.7,15.02,19.58,11.0,256.0,580,570641,94743,665384,60.9%,64.9
AK,2001-09,3616.7,10.32,13.19,-28.0,189.0,580,570641,94743,665384,60.9%,64.9
AK,2001-10,20.9,10.32,8.16,-189.0,156.0,580,570641,94743,665384,60.9%,64.9
AK,2002-01,0.1,,,,,580,570641,94743,665384,60.9%,64.9
AK,2002-03,0.1,,,,,580,570641,94743,665384,60.9%,64.9
AK,2002-04,604.6,,,,,580,570641,94743,665384,60.9%,64.9
AK,2002-05,639303.6,4.18,38.74,-44.0,278.0,580,570641,94743,665384,60.9%,64.9
AK,2002-06,555731.5,6.88,39.38,28.0,278.0,580,570641,94743,665384,60.9%,64.9
AK,2002-07,926979.1,20.04,27.05,11.0,289.0,580,570641,94743,665384,60.9%,64.9
AK,2002-08,64019.4,34.2,18.84,-11.0,294.0,580,570641,94743,665384,60.9%,64.9
AK,2002-09,2.7,24.37,10.35,-72.0,194.0,580,570641,94743,665384,60.9%,64.9
AK,2002-11,5.0,,,,,580,570641,94743,665384,60.9%,64.9
AK,2003-01,432.7,,,,,580,570641,94743,665384,60.9%,64.9
AK,2003-03,281.5,,,,,580,570641,94743,665384,60.9%,64.9
AK,2003-04,599.5,0.0,45.0,-17.0,189.0,580,570641,94743,665384,60.9%,64.9
AK,2003-05,13035.5,4.94,33.63,-11.0,211.0,580,570641,94743,665384,60.9%,64.9
AK,2003-06,534531.7,7.43,33.6,-6.0,244.0,580,570641,94743,665384,60.9%,64.9
AK,2003-07,50167.6,29.07,32.97,-6.0,294.0,580,570641,94743,665384,60.9%,64.9
AK,2003-08,2524.81,17.54,21.33,6.0,294.0,580,570641,94743,665384,60.9%,64.9
AK,2003-09,99.8,15.38,16.62,-33.0,189.0,580,570641,94743,665384,60.9%,64.9
AK,2003-10,0.8,,,,,580,570641,94743,665384,60.9%,64.9
AK,2003-11,0.1,,,,,580,570641,94743,665384,60.9%,64.9
AK,2004-01,0.1,,,,,580,570641,94743,665384,60.9%,64.9
AK,2004-03,0.1,,,,,580,570641,94743,665384,60.9%,64.9
AK,2004-04,27.7,,,,,580,570641,94743,665384,60.9%,64.9
AK,2004-05,11892.6,9.46,34.18,0.0,222.0,580,570641,94743,665384,60.9%,64.9
AK,2004-06,4779145.15,6.71,31.9,11.0,306.0,580,570641,94743,665384,60.9%,64.9
AK,2004-07,1568044.30019,16.26,28.47,39.0,289.0,580,570641,94743,665384,60.9%,64.9
AK,2004-08,229376.1,10.64,23.3,0.0,306.0,580,570641,94743,665384,60.9%,64.9
AK,2004-09,3381.8,21.47,25.27,-44.0,183.0,580,570641,94743,665384,60.9%,64.9
AK,2004-10,0.75,,,,,580,570641,94743,665384,60.9%,64.9
AK,2005-03,1.5,,,,,580,570641,94743,665384,60.9%,64.9
AK,2005-04,5969.7,,,,,580,570641,94743,665384,60.9%,64.9
AK,2005-05,253467.2,1.18,46.57,-6.0,228.0,580,570641,94743,665384,60.9%,64.9
AK,2005-06,2209361.15,23.56,36.87,11.0,289.0,580,570641,94743,665384,60.9%,64.9
AK,2005-07,1631255.2,26.37,34.28,-6.0,261.0,580,570641,94743,665384,60.9%,64.9
AK,2005-08,535813.102,15.26,22.48,-11.0,300.0,580,570641,94743,665384,60.9%,64.9
AK,2005-09,30.8,23.84,19.55,-56.0,178.0,580,570641,94743,665384,60.9%,64.9
AK,2006-04,95.0,,,,,580,570641,94743,665384,60.9%,64.9
AK,2006-05,68858.5,1.8,44.22,-17.0,261.0,580,570641,94743,665384,60.9%,64.9
AK,2006-06,158456.1,19.78,33.2,-56.0,256.0,580,570641,94743,665384,60.9%,64.9
AK,2006-07,27095.9,17.6,35.34,28.0,272.0,580,570641,94743,665384,60.9%,64.9
AK,2006-08,2.2,30.68,19.1,-17.0,233.0,580,570641,94743,665384,60.9%,64.9
AK,2006-09,3.6,11.78,20.03,-11.0,194.0,580,570641,94743,665384,60.9%,64.9
AK,2006-10,2.5,,,,,580,570641,94743,665384,60.9%,64.9
AK,2007-04,33820.5,,,,,580,570641,94743,665384,60.9%,64.9
AK,2007-05,50446.3,11.6,31.23,-22.0,244.0,580,570641,94743,665384,60.9%,64.9
AK,2007-06,128310.8,8.21,34.86,-6.0,272.0,580,570641,94743,665384,60.9%,64.9
AK,2007-07,420162.80002,17.41,27.38,28.0,278.0,580,570641,94743,665384,60.9%,64.9
AK,2007-08,37.3,24.83,24.75,17.0,278.0,580,570641,94743,665384,60.9%,64.9
AK,2007-09,1687.8,26.82,17.97,-44.0,206.0,580,570641,94743,665384,60.9%,64.9
AK,2007-10,0.4,1.25,18.5,-39.0,111.0,580,570641,94743,665384,60.9%,64.9
AK,2007-11,0.2,,,,,580,570641,94743,665384,60.9%,64.9
AK,2008-03,224.3,,,,,580,570641,94743,665384,60.9%,64.9
AK,2008-04,93.9,,,,,580,570641,94743,665384,60.9%,64.9
AK,2008-05,1276.8,5.23,32.35,-44.0,189.0,580,570641,94743,665384,60.9%,64.9
AK,2008-06,14605.8,18.51,37.38,33.0,272.0,580,570641,94743,665384,60.9%,64.9
AK,2008-07,76102.0,12.4,32.52,39.0,289.0,580,570641,94743,665384,60.9%,64.9
AK,2008-08,136.29999999999998,14.47,22.98,11.0,233.0,580,570641,94743,665384,60.9%,64.9
AK,2008-09,38.5,14.6,16.08,-33.0,217.0,580,570641,94743,665384,60.9%,64.9
AK,2009-01,0.1,,,,,580,570641,94743,665384,60.9%,64.9
AK,2009-03,1000.0,,,,,580,570641,94743,665384,60.9%,64.9
AK,2009-04,241.7,,,,,580,570641,94743,665384,60.9%,64.9
AK,2009-05,334059.41,4.64,33.41,-50.0,261.0,580,570641,94743,665384,60.9%,64.9
AK,2009-06,1482052.41,10.65,32.7,-11.0,294.0,580,570641,94743,665384,60.9%,64.9
AK,2009-07,1017333.65,5.8,39.15,28.0,322.0,580,570641,94743,665384,60.9%,64.9
AK,2009-08,114860.3,16.22,17.77,-39.0,289.0,580,570641,94743,665384,60.9%,64.9
AK,2009-09,40.1,8.42,21.2,-61.0,228.0,580,570641,94743,665384,60.9%,64.9
AK,2009-10,1.2,0.0,11.25,-22.0,117.0,580,570641,94743,665384,60.9%,64.9
AK,2009-11,5.1,,,,,580,570641,94743,665384,60.9%,64.9
AK,2010-03,0.5,,,,,580,570641,94743,665384,60.9%,64.9
AK,2010-04,1558.9699999999998,,,,,580,570641,94743,665384,60.9%,64.9
AK,2010-05,608126.4,,,,,580,570641,94743,665384,60.9%,64.9
AK,2010-06,316987.85,,,,,580,570641,94743,665384,60.9%,64.9
AK,2010-07,206614.55,,,,,580,570641,94743,665384,60.9%,64.9
AK,2010-08,156.7,,,,,580,570641,94743,665384,60.9%,64.9
AK,2010-09,4046.7,,,,,580,570641,94743,665384,60.9%,64.9
AK,2010-10,40.9,,,,,580,570641,94743,665384,60.9%,64.9
AK,2010-11,0.1,,,,,580,570641,94743,665384,60.9%,64.9
AL,1992-01,48.0,45.18,18.29,-28.0,217.0,150,50645,1775,52420,2.7%,57.7
AL,1992-02,241.8,35.2,25.85,-39.0,256.0,150,50645,1775,52420,2.7%,57.7
AL,1992-03,92.7,21.85,38.96,-39.0,278.0,150,50645,1775,52420,2.7%,57.7
AL,1992-04,610.4,17.51,50.48,-33.0,317.0,150,50645,1775,52420,2.7%,57.7
AL,1992-05,204.9,15.44,60.04,39.0,328.0,150,50645,1775,52420,2.7%,57.7
AL,1992-08,5.1,33.11,47.39,94.0,356.0,150,50645,1775,52420,2.7%,57.7
AL,1992-09,0.1,19.48,41.92,61.0,333.0,150,50645,1775,52420,2.7%,57.7
AL,1992-10,3.2,18.14,30.34,6.0,289.0,150,50645,1775,52420,2.7%,57.7
AL,1992-11,34.9,37.47,24.04,-50.0,272.0,150,50645,1775,52420,2.7%,57.7
AL,1992-12,12.1,17.71,16.71,-33.0,250.0,150,50645,1775,52420,2.7%,57.7
AL,1993-01,255.6,29.53,17.75,-67.0,239.0,150,50645,1775,52420,2.7%,57.7
AL,1993-02,907.9,24.86,27.56,-33.0,244.0,150,50645,1775,52420,2.7%,57.7
AL,1993-03,468.7,37.9,35.41,-39.0,294.0,150,50645,1775,52420,2.7%,57.7
AL,1993-04,57.5,20.25,49.66,-33.0,289.0,150,50645,1775,52420,2.7%,57.7
AL,1993-06,7.2,21.3,62.82,56.0,372.0,150,50645,1775,52420,2.7%,57.7
AL,1993-07,219.9,24.12,66.55,133.0,400.0,150,50645,1775,52420,2.7%,57.7
AL,1993-08,65.6,31.02,56.57,111.0,372.0,150,50645,1775,52420,2.7%,57.7
AL,1993-09,103.1,30.55,47.56,28.0,367.0,150,50645,1775,52420,2.7%,57.7
AL,1993-10,100.3,12.83,33.22,-33.0,317.0,150,50645,1775,52420,2.7%,57.7
AL,1993-11,73.5,18.98,21.06,-67.0,278.0,150,50645,1775,52420,2.7%,57.7
AL,1993-12,77.5,32.14,19.63,-67.0,244.0,150,50645,1775,52420,2.7%,57.7
AL,1994-01,3097.1,30.95,18.77,-33.0,239.0,150,50645,1775,52420,2.7%,57.7
AL,1994-02,7595.4,20.27,29.22,-39.0,272.0,150,50645,1775,52420,2.7%,57.7
AL,1994-03,16857.3,22.51,42.57,-22.0,300.0,150,50645,1775,52420,2.7%,57.7
AL,1994-04,2217.7,20.9,49.38,-17.0,317.0,150,50645,1775,52420,2.7%,57.7
AL,1994-05,1314.0,20.55,57.05,-11.0,328.0,150,50645,1775,52420,2.7%,57.7
AL,1994-06,143.0,47.71,52.41,161.0,356.0,150,50645,1775,52420,2.7%,57.7
AL,1994-07,108.1,39.49,51.14,106.0,350.0,150,50645,1775,52420,2.7%,57.7
AL,1994-08,104.9,23.9,49.78,139.0,356.0,150,50645,1775,52420,2.7%,57.7
AL,1994-09,338.5,12.85,45.39,56.0,339.0,150,50645,1775,52420,2.7%,57.7
AL,1994-10,133.8,21.12,30.04,6.0,328.0,150,50645,1775,52420,2.7%,57.7
AL,1994-11,2287.5,10.44,27.3,0.0,283.0,150,50645,1775,52420,2.7%,57.7
AL,1994-12,467.1,11.96,17.66,-28.0,244.0,150,50645,1775,52420,2.7%,57.7
AL,1995-01,1031.0,27.63,22.49,-33.0,239.0,150,50645,1775,52420,2.7%,57.7
AL,1995-02,7563.8,28.64,35.76,-33.0,283.0,150,50645,1775,52420,2.7%,57.7
AL,1995-03,6523.5,31.34,37.03,-22.0,317.0,150,50645,1775,52420,2.7%,57.7
AL,1995-04,8548.8,25.26,49.34,-11.0,311.0,150,50645,1775,52420,2.7%,57.7
AL,1995-05,1261.6,15.94,58.2,22.0,344.0,150,50645,1775,52420,2.7%,57.7
AL,1995-06,926.1,22.95,59.41,72.0,361.0,150,50645,1775,52420,2.7%,57.7
AL,1995-07,3771.0,31.38,65.59,139.0,389.0,150,50645,1775,52420,2.7%,57.7
AL,1995-08,3270.4,26.7,61.04,172.0,400.0,150,50645,1775,52420,2.7%,57.7
AL,1995-09,3222.2,20.84,53.89,83.0,372.0,150,50645,1775,52420,2.7%,57.7
AL,1995-10,831.1,14.81,39.2,-11.0,333.0,150,50645,1775,52420,2.7%,57.7
AL,1995-11,437.4,20.0,24.97,-56.0,278.0,150,50645,1775,52420,2.7%,57.7
AL,1995-12,1509.7,38.07,18.35,-50.0,261.0,150,50645,1775,52420,2.7%,57.7
AL,1996-01,1668.4,29.53,22.26,-39.0,244.0,150,50645,1775,52420,2.7%,57.7
AL,1996-02,11741.2,22.26,34.29,-33.0,294.0,150,50645,1775,52420,2.7%,57.7
AL,1996-03,18572.0,43.06,40.64,-33.0,283.0,150,50645,1775,52420,2.7%,57.7
AL,1996-04,6523.2,23.64,52.36,-39.0,311.0,150,50645,1775,52420,2.7%,57.7
AL,1996-05,2928.7,10.18,61.62,17.0,378.0,150,50645,1775,52420,2.7%,57.7
AL,1996-06,692.5,22.33,60.51,-144.0,356.0,150,50645,1775,52420,2.7%,57.7
AL,1996-07,1402.8,37.14,63.65,122.0,367.0,150,50645,1775,52420,2.7%,57.7
AL,1996-08,377.6,30.02,53.4,117.0,350.0,150,50645,1775,52420,2.7%,57.7
AL,1996-09,46.2,40.69,43.56,50.0,333.0,150,50645,1775,52420,2.7%,57.7
AL,1996-10,511.3,19.3,31.77,-11.0,306.0,150,50645,1775,52420,2.7%,57.7
AL,1996-11,2389.3,13.98,24.17,-39.0,278.0,150,50645,1775,52420,2.7%,57.7
AL,1996-12,830.0,25.23,21.17,-44.0,267.0,150,50645,1775,52420,2.7%,57.7
AL,1997-01,1595.8,35.3,21.72,-44.0,256.0,150,50645,1775,52420,2.7%,57.7
AL,1997-02,2620.1,27.34,22.26,-28.0,278.0,150,50645,1775,52420,2.7%,57.7
AL,1997-03,5834.6,15.24,39.08,-11.0,300.0,150,50645,1775,52420,2.7%,57.7
AL,1997-04,3807.7,29.74,48.37,-17.0,289.0,150,50645,1775,52420,2.7%,57.7
AL,1997-05,2147.0,28.02,52.38,17.0,322.0,150,50645,1775,52420,2.7%,57.7
AL,1997-06,33.9,35.72,47.77,111.0,339.0,150,50645,1775,52420,2.7%,57.7
AL,1997-07,105.9,31.21,59.19,161.0,361.0,150,50645,1775,52420,2.7%,57.7
AL,1997-08,127.8,19.62,54.55,122.0,372.0,150,50645,1775,52420,2.7%,57.7
AL,1997-09,2282.7,18.44,50.93,72.0,383.0,150,50645,1775,52420,2.7%,57.7
AL,1997-10,2799.6,19.73,37.17,-11.0,333.0,150,50645,1775,52420,2.7%,57.7
AL,1997-11,231.8,20.76,20.53,-61.0,261.0,150,50645,1775,52420,2.7%,57.7
AL,1997-12,468.5,20.51,18.08,-78.0,244.0,150,50645,1775,52420,2.7%,57.7
AL,1998-01,835.4,26.77,19.6,-33.0,233.0,150,50645,1775,52420,2.7%,57.7
AL,1998-02,3272.0,40.22,30.55,-67.0,244.0,150,50645,1775,52420,2.7%,57.7
AL,1998-03,9445.6,14.19,36.56,-61.0,306.0,150,50645,1775,52420,2.7%,57.7
AL,1998-04,1716.3,28.36,45.42,6.0,322.0,150,50645,1775,52420,2.7%,57.7
AL,1998-05,1447.1,7.93,57.37,-150.0,367.0,150,50645,1775,52420,2.7%,57.7
AL,1998-06,1948.5,23.76,69.42,83.0,400.0,150,50645,1775,52420,2.7%,57.7
AL,1998-07,929.7,37.78,60.37,156.0,406.0,150,50645,1775,52420,2.7%,57.7
AL,1998-08,908.8,22.88,57.11,128.0,372.0,150,50645,1775,52420,2.7%,57.7
AL,1998-09,4592.8,20.75,51.75,94.0,367.0,150,50645,1775,52420,2.7%,57.7
AL,1998-10,4768.3,7.33,35.67,-17.0,328.0,150,50645,1775,52420,2.7%,57.7
AL,1998-11,1490.3,13.84,21.82,-39.0,294.0,150,50645,1775,52420,2.7%,57.7
AL,1998-12,4205.8,21.56,19.19,-33.0,278.0,150,50645,1775,52420,2.7%,57.7
AL,1999-01,1539.3,27.64,22.39,-78.0,256.0,150,50645,1775,52420,2.7%,57.7
AL,1999-02,4931.5,18.05,25.56,-72.0,267.0,150,50645,1775,52420,2.7%,57.7
AL,1999-03,7993.2,36.33,37.25,-56.0,261.0,150,50645,1775,52420,2.7%,57.7
AL,1999-04,7215.7,18.01,52.73,-17.0,328.0,150,50645,1775,52420,2.7%,57.7
AL,1999-05,1908.6,20.88,58.1,22.0,328.0,150,50645,1775,52420,2.7%,57.7
AL,1999-06,281.0,36.05,57.46,-6.0,356.0,150,50645,1775,52420,2.7%,57.7
AL,1999-07,192.1,28.39,58.28,167.0,372.0,150,50645,1775,52420,2.7%,57.7
AL,1999-08,4359.2,18.18,65.6,0.0,394.0,150,50645,1775,52420,2.7%,57.7
AL,1999-09,14107.9,14.23,55.09,17.0,372.0,150,50645,1775,52420,2.7%,57.7
AL,1999-10,2290.2,14.13,36.53,-33.0,333.0,150,50645,1775,52420,2.7%,57.7
AL,1999-11,4916.3,11.09,25.61,-56.0,283.0,150,50645,1775,52420,2.7%,57.7
AL,1999-12,2813.2,19.95,20.43,-67.0,250.0,150,50645,1775,52420,2.7%,57.7
AL,2000-01,2710.7,35.59,24.58,-89.0,261.0,150,50645,1775,52420,2.7%,57.7
AL,2000-02,17495.5,14.08,30.03,-50.0,261.0,150,50645,1775,52420,2.7%,57.7
AL,2000-03,10399.1,33.06,36.87,-56.0,289.0,150,50645,1775,52420,2.7%,57.7
AL,2000-04,3734.9,14.7,48.32,-50.0,306.0,150,50645,1775,52420,2.7%,57.7
AL,2000-05,7466.6,4.48,66.95,50.0,372.0,150,50645,1775,52420,2.7%,57.7
AL,2000-06,2957.1,25.94,64.92,61.0,389.0,150,50645,1775,52420,2.7%,57.7
AL,2000-07,13563.0,16.19,74.51,128.0,422.0,150,50645,1775,52420,2.7%,57.7
AL,2000-08,11085.5,18.82,64.94,117.0,411.0,150,50645,1775,52420,2.7%,57.7
AL,2000-09,8056.3,14.96,48.98,44.0,372.0,150,50645,1775,52420,2.7%,57.7
AL,2000-10,8557.4,3.31,40.74,-39.0,322.0,150,50645,1775,52420,2.7%,57.7
AL,2000-11,1479.9,48.09,25.42,-67.0,306.0,150,50645,1775,52420,2.7%,57.7
AL,2000-12,761.4,27.42,18.84,-94.0,239.0,150,50645,1775,52420,2.7%,57.7
AL,2001-01,2318.2,36.6,26.6,-100.0,239.0,150,50645,1775,52420,2.7%,57.7
AL,2001-02,8915.7,16.17,27.04,-50.0,272.0,150,50645,1775,52420,2.7%,57.7
AL,2001-03,3967.6,34.26,40.56,-56.0,267.0,150,50645,1775,52420,2.7%,57.7
AL,2001-04,4512.9,9.33,51.59,-39.0,317.0,150,50645,1775,52420,2.7%,57.7
AL,2001-05,4481.5,13.12,61.67,-6.0,344.0,150,50645,1775,52420,2.7%,57.7
AL,2001-06,670.8,40.55,61.54,83.0,350.0,150,50645,1775,52420,2.7%,57.7
AL,2001-07,292.0,39.18,63.21,11.0,361.0,150,50645,1775,52420,2.7%,57.7
AL,2001-08,159.7,23.74,55.19,111.0,356.0,150,50645,1775,52420,2.7%,57.7
AL,2001-09,221.4,26.89,45.76,44.0,333.0,150,50645,1775,52420,2.7%,57.7
AL,2001-10,1485.6,23.81,36.84,-33.0,300.0,150,50645,1775,52420,2.7%,57.7
AL,2001-11,11157.6,19.93,31.69,-17.0,289.0,150,50645,1775,52420,2.7%,57.7
AL,2001-12,912.1,10.24,20.97,-44.0,272.0,150,50645,1775,52420,2.7%,57.7
AL,2002-01,1367.4,23.57,16.13,-67.0,267.0,150,50645,1775,52420,2.7%,57.7
AL,2002-02,14696.9,22.27,27.77,-56.0,267.0,150,50645,1775,52420,2.7%,57.7
AL,2002-03,9888.7,29.47,39.83,-56.0,306.0,150,50645,1775,52420,2.7%,57.7
AL,2002-04,4347.1,20.32,48.92,-6.0,328.0,150,50645,1775,52420,2.7%,57.7
AL,2002-05,2046.0,20.88,63.4,39.0,350.0,150,50645,1775,52420,2.7%,57.7
AL,2002-06,1798.1,28.17,61.81,122.0,372.0,150,50645,1775,52420,2.7%,57.7
AL,2002-07,217.2,33.5,61.08,183.0,378.0,150,50645,1775,52420,2.7%,57.7
AL,2002-08,1337.2,23.68,59.44,156.0,367.0,150,50645,1775,52420,2.7%,57.7
AL,2002-09,2064.7,25.96,44.71,150.0,372.0,150,50645,1775,52420,2.7%,57.7
AL,2002-10,37.5,29.8,31.68,61.0,328.0,150,50645,1775,52420,2.7%,57.7
AL,2002-11,237.3,17.16,24.34,-28.0,283.0,150,50645,1775,52420,2.7%,57.7
AL,2002-12,657.9,17.51,21.14,-89.0,244.0,150,50645,1775,52420,2.7%,57.7
AL,2003-01,3926.25,4.75,22.75,-39.0,283.0,150,50645,1775,52420,2.7%,57.7
AL,2003-02,2421.8,16.22,22.91,-28.0,267.0,150,50645,1775,52420,2.7%,57.7
AL,2003-03,2940.95,25.04,35.3,-67.0,289.0,150,50645,1775,52420,2.7%,57.7
AL,2003-04,2772.7,13.98,50.42,-11.0,328.0,150,50645,1775,52420,2.7%,57.7
AL,2003-05,1346.3,30.6,55.11,72.0,339.0,150,50645,1775,52420,2.7%,57.7
AL,2003-06,129.15,40.3,55.81,111.0,350.0,150,50645,1775,52420,2.7%,57.7
AL,2003-07,38.65,44.43,53.79,144.0,350.0,150,50645,1775,52420,2.7%,57.7
AL,2003-08,114.72,39.58,51.87,178.0,344.0,150,50645,1775,52420,2.7%,57.7
AL,2003-09,578.75,20.08,47.3,50.0,339.0,150,50645,1775,52420,2.7%,57.7
