STATE,TOTAL_FIRE_SIZE,PRCP,EVAP,TMIN,TMAX,MEAN_ELEVATION,LAND_AREA,WATER_AREA,TOTAL_AREA,PERCENTAGE_FEDERAL_LAND,URBANIZATION_RATE,MONTH,YEAR,MONTH_SIN
AK,92692.0,2.25,45.07,-6.0,244.0,580,570641,94743,665384,60.9,64.9,5,1996,0.49999999999999994
AK,446381.2,9.09,40.92,-22.0,289.0,580,570641,94743,665384,60.9,64.9,6,1996,1.2246467991473532e-16
AK,56220.7,12.99,31.46,17.0,283.0,580,570641,94743,665384,60.9,64.9,7,1996,-0.4999999999999997
AK,27.1,23.34,20.01,-33.0,228.0,580,570641,94743,665384,60.9,64.9,8,1996,-0.8660254037844384
AK,14.4,4.0,17.8,-22.0,233.0,580,570641,94743,665384,60.9,64.9,9,1996,-1.0
AK,3252.4,6.652857142857143,5.987142857142857,-42.0,111.42857142857143,580,570641,94743,665384,60.9,64.9,10,1996,-0.8660254037844386
AK,302.5,0.0,0.0,-289.0,-156.0,580,570641,94743,665384,60.9,64.9,3,1997,1.0
AK,14145.3,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,1997,0.8660254037844387
AK,452.2,17.33,39.94,-17.0,250.0,580,570641,94743,665384,60.9,64.9,5,1997,0.49999999999999994
AK,1601554.9,9.38,40.15,-11.0,289.0,580,570641,94743,665384,60.9,64.9,6,1997,1.2246467991473532e-16
AK,404789.8,14.46,34.93,44.0,306.0,580,570641,94743,665384,60.9,64.9,7,1997,-0.4999999999999997
AK,4950.3,21.3,13.61,0.0,283.0,580,570641,94743,665384,60.9,64.9,8,1997,-0.8660254037844384
AK,3.4,11.26,13.29,-50.0,228.0,580,570641,94743,665384,60.9,64.9,9,1997,-1.0
AK,6.0,6.652857142857143,5.987142857142857,-42.0,111.42857142857143,580,570641,94743,665384,60.9,64.9,10,1997,-0.8660254037844386
AK,0.1,20.510133563136343,31.093893383478708,-43.67649101798762,232.60798311691929,580,570641,94743,665384,60.9,64.9,11,1997,-0.5000000000000004
AK,4.3,21.924639605389334,21.748862937058995,-93.34388152170919,202.45758317697582,580,570641,94743,665384,60.9,64.9,2,1998,0.8660254037844386
AK,0.6,0.0,0.0,-289.0,-156.0,580,570641,94743,665384,60.9,64.9,3,1998,1.0
AK,498.5,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,1998,0.8660254037844387
AK,54480.0,6.37,31.63,-28.0,244.0,580,570641,94743,665384,60.9,64.9,5,1998,0.49999999999999994
AK,31754.2,14.92,25.98,-6.0,306.0,580,570641,94743,665384,60.9,64.9,6,1998,1.2246467991473532e-16
AK,33965.5,28.48,24.67,39.0,272.0,580,570641,94743,665384,60.9,64.9,7,1998,-0.4999999999999997
AK,74.5,32.34,15.0,-33.0,256.0,580,570641,94743,665384,60.9,64.9,8,1998,-0.8660254037844384
AK,3.2,18.93,11.64,-33.0,189.0,580,570641,94743,665384,60.9,64.9,9,1998,-1.0
AK,1.3,6.652857142857143,5.987142857142857,-42.0,111.42857142857143,580,570641,94743,665384,60.9,64.9,10,1998,-0.8660254037844386
AK,0.1,0.0,0.0,-289.0,-156.0,580,570641,94743,665384,60.9,64.9,3,1999,1.0
AK,520.39999,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,1999,0.8660254037844387
AK,781.6,9.47,40.86,-33.0,233.0,580,570641,94743,665384,60.9,64.9,5,1999,0.49999999999999994
AK,914393.9,11.22,35.65,0.0,328.0,580,570641,94743,665384,60.9,64.9,6,1999,1.2246467991473532e-16
AK,90106.1,20.53,27.65,28.0,294.0,580,570641,94743,665384,60.9,64.9,7,1999,-0.4999999999999997
AK,2.4,15.41,17.51,6.0,306.0,580,570641,94743,665384,60.9,64.9,8,1999,-0.8660254037844384
AK,38.2,11.82,13.77,-22.0,206.0,580,570641,94743,665384,60.9,64.9,9,1999,-1.0
AK,1.0,6.652857142857143,5.987142857142857,-42.0,111.42857142857143,580,570641,94743,665384,60.9,64.9,10,1999,-0.8660254037844386
AK,38.4,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,2000,0.8660254037844387
AK,1208.6,9.04,34.04,-33.0,189.0,580,570641,94743,665384,60.9,64.9,5,2000,0.49999999999999994
AK,738604.4,6.44,36.87,6.0,289.0,580,570641,94743,665384,60.9,64.9,6,2000,1.2246467991473532e-16
AK,3594.7,20.19,24.27,11.0,267.0,580,570641,94743,665384,60.9,64.9,7,2000,-0.4999999999999997
AK,41.3,30.74,14.98,-28.0,233.0,580,570641,94743,665384,60.9,64.9,8,2000,-0.8660254037844384
AK,0.7000000000000001,21.75,9.31,-50.0,156.0,580,570641,94743,665384,60.9,64.9,9,2000,-1.0
AK,0.1,20.510133563136343,31.093893383478708,-43.67649101798762,232.60798311691929,580,570641,94743,665384,60.9,64.9,11,2000,-0.5000000000000004
AK,12891.0,18.8715191267981,17.19622893065115,-75.41472578437441,189.21906104346078,580,570641,94743,665384,60.9,64.9,12,2000,-2.4492935982947064e-16
AK,2.6,0.0,0.0,-289.0,-156.0,580,570641,94743,665384,60.9,64.9,3,2001,1.0
AK,15.6,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,2001,0.8660254037844387
AK,1700.1,7.02,30.22,-39.0,222.0,580,570641,94743,665384,60.9,64.9,5,2001,0.49999999999999994
AK,214004.7,5.8,37.66,6.0,283.0,580,570641,94743,665384,60.9,64.9,6,2001,1.2246467991473532e-16
AK,557.4,30.18,20.09,11.0,239.0,580,570641,94743,665384,60.9,64.9,7,2001,-0.4999999999999997
AK,6.7,15.02,19.58,11.0,256.0,580,570641,94743,665384,60.9,64.9,8,2001,-0.8660254037844384
AK,3616.7,10.32,13.19,-28.0,189.0,580,570641,94743,665384,60.9,64.9,9,2001,-1.0
AK,20.9,10.32,8.16,-189.0,156.0,580,570641,94743,665384,60.9,64.9,10,2001,-0.8660254037844386
AK,0.1,0.0,0.0,-233.0,-167.0,580,570641,94743,665384,60.9,64.9,1,2002,0.49999999999999994
AK,0.1,0.0,0.0,-289.0,-156.0,580,570641,94743,665384,60.9,64.9,3,2002,1.0
AK,604.6,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,2002,0.8660254037844387
AK,639303.6,4.18,38.74,-44.0,278.0,580,570641,94743,665384,60.9,64.9,5,2002,0.49999999999999994
AK,555731.5,6.88,39.38,28.0,278.0,580,570641,94743,665384,60.9,64.9,6,2002,1.2246467991473532e-16
AK,926979.1,20.04,27.05,11.0,289.0,580,570641,94743,665384,60.9,64.9,7,2002,-0.4999999999999997
AK,64019.4,34.2,18.84,-11.0,294.0,580,570641,94743,665384,60.9,64.9,8,2002,-0.8660254037844384
AK,2.7,24.37,10.35,-72.0,194.0,580,570641,94743,665384,60.9,64.9,9,2002,-1.0
AK,5.0,20.510133563136343,31.093893383478708,-43.67649101798762,232.60798311691929,580,570641,94743,665384,60.9,64.9,11,2002,-0.5000000000000004
AK,432.7,0.0,0.0,-233.0,-167.0,580,570641,94743,665384,60.9,64.9,1,2003,0.49999999999999994
AK,281.5,0.0,0.0,-289.0,-156.0,580,570641,94743,665384,60.9,64.9,3,2003,1.0
AK,599.5,0.0,45.0,-17.0,189.0,580,570641,94743,665384,60.9,64.9,4,2003,0.8660254037844387
AK,13035.5,4.94,33.63,-11.0,211.0,580,570641,94743,665384,60.9,64.9,5,2003,0.49999999999999994
AK,534531.7,7.43,33.6,-6.0,244.0,580,570641,94743,665384,60.9,64.9,6,2003,1.2246467991473532e-16
AK,50167.6,29.07,32.97,-6.0,294.0,580,570641,94743,665384,60.9,64.9,7,2003,-0.4999999999999997
AK,2524.81,17.54,21.33,6.0,294.0,580,570641,94743,665384,60.9,64.9,8,2003,-0.8660254037844384
AK,99.8,15.38,16.62,-33.0,189.0,580,570641,94743,665384,60.9,64.9,9,2003,-1.0
AK,0.8,6.652857142857143,5.987142857142857,-42.0,111.42857142857143,580,570641,94743,665384,60.9,64.9,10,2003,-0.8660254037844386
AK,0.1,20.510133563136343,31.093893383478708,-43.67649101798762,232.60798311691929,580,570641,94743,665384,60.9,64.9,11,2003,-0.5000000000000004
AK,0.1,0.0,0.0,-233.0,-167.0,580,570641,94743,665384,60.9,64.9,1,2004,0.49999999999999994
AK,0.1,0.0,0.0,-289.0,-156.0,580,570641,94743,665384,60.9,64.9,3,2004,1.0
AK,27.7,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,2004,0.8660254037844387
AK,11892.6,9.46,34.18,0.0,222.0,580,570641,94743,665384,60.9,64.9,5,2004,0.49999999999999994
AK,4779145.15,6.71,31.9,11.0,306.0,580,570641,94743,665384,60.9,64.9,6,2004,1.2246467991473532e-16
AK,1568044.30019,16.26,28.47,39.0,289.0,580,570641,94743,665384,60.9,64.9,7,2004,-0.4999999999999997
AK,229376.1,10.64,23.3,0.0,306.0,580,570641,94743,665384,60.9,64.9,8,2004,-0.8660254037844384
AK,3381.8,21.47,25.27,-44.0,183.0,580,570641,94743,665384,60.9,64.9,9,2004,-1.0
AK,0.75,6.652857142857143,5.987142857142857,-42.0,111.42857142857143,580,570641,94743,665384,60.9,64.9,10,2004,-0.8660254037844386
AK,1.5,0.0,0.0,-289.0,-156.0,580,570641,94743,665384,60.9,64.9,3,2005,1.0
AK,5969.7,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,2005,0.8660254037844387
AK,253467.2,1.18,46.57,-6.0,228.0,580,570641,94743,665384,60.9,64.9,5,2005,0.49999999999999994
AK,2209361.15,23.56,36.87,11.0,289.0,580,570641,94743,665384,60.9,64.9,6,2005,1.2246467991473532e-16
AK,1631255.2,26.37,34.28,-6.0,261.0,580,570641,94743,665384,60.9,64.9,7,2005,-0.4999999999999997
AK,535813.102,15.26,22.48,-11.0,300.0,580,570641,94743,665384,60.9,64.9,8,2005,-0.8660254037844384
AK,30.8,23.84,19.55,-56.0,178.0,580,570641,94743,665384,60.9,64.9,9,2005,-1.0
AK,95.0,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,2006,0.8660254037844387
AK,68858.5,1.8,44.22,-17.0,261.0,580,570641,94743,665384,60.9,64.9,5,2006,0.49999999999999994
AK,158456.1,19.78,33.2,-56.0,256.0,580,570641,94743,665384,60.9,64.9,6,2006,1.2246467991473532e-16
AK,27095.9,17.6,35.34,28.0,272.0,580,570641,94743,665384,60.9,64.9,7,2006,-0.4999999999999997
AK,2.2,30.68,19.1,-17.0,233.0,580,570641,94743,665384,60.9,64.9,8,2006,-0.8660254037844384
AK,3.6,11.78,20.03,-11.0,194.0,580,570641,94743,665384,60.9,64.9,9,2006,-1.0
AK,2.5,6.652857142857143,5.987142857142857,-42.0,111.42857142857143,580,570641,94743,665384,60.9,64.9,10,2006,-0.8660254037844386
AK,33820.5,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,2007,0.8660254037844387
AK,50446.3,11.6,31.23,-22.0,244.0,580,570641,94743,665384,60.9,64.9,5,2007,0.49999999999999994
AK,128310.8,8.21,34.86,-6.0,272.0,580,570641,94743,665384,60.9,64.9,6,2007,1.2246467991473532e-16
AK,420162.80002,17.41,27.38,28.0,278.0,580,570641,94743,665384,60.9,64.9,7,2007,-0.4999999999999997
AK,37.3,24.83,24.75,17.0,278.0,580,570641,94743,665384,60.9,64.9,8,2007,-0.8660254037844384
AK,1687.8,26.82,17.97,-44.0,206.0,580,570641,94743,665384,60.9,64.9,9,2007,-1.0
AK,0.4,1.25,18.5,-39.0,111.0,580,570641,94743,665384,60.9,64.9,10,2007,-0.8660254037844386
AK,0.2,20.510133563136343,31.093893383478708,-43.67649101798762,232.60798311691929,580,570641,94743,665384,60.9,64.9,11,2007,-0.5000000000000004
AK,224.3,0.0,0.0,-289.0,-156.0,580,570641,94743,665384,60.9,64.9,3,2008,1.0
AK,93.9,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,2008,0.8660254037844387
AK,1276.8,5.23,32.35,-44.0,189.0,580,570641,94743,665384,60.9,64.9,5,2008,0.49999999999999994
AK,14605.8,18.51,37.38,33.0,272.0,580,570641,94743,665384,60.9,64.9,6,2008,1.2246467991473532e-16
AK,76102.0,12.4,32.52,39.0,289.0,580,570641,94743,665384,60.9,64.9,7,2008,-0.4999999999999997
AK,136.29999999999998,14.47,22.98,11.0,233.0,580,570641,94743,665384,60.9,64.9,8,2008,-0.8660254037844384
AK,38.5,14.6,16.08,-33.0,217.0,580,570641,94743,665384,60.9,64.9,9,2008,-1.0
AK,0.1,0.0,0.0,-233.0,-167.0,580,570641,94743,665384,60.9,64.9,1,2009,0.49999999999999994
AK,1000.0,0.0,0.0,-289.0,-156.0,580,570641,94743,665384,60.9,64.9,3,2009,1.0
AK,241.7,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,2009,0.8660254037844387
AK,334059.41,4.64,33.41,-50.0,261.0,580,570641,94743,665384,60.9,64.9,5,2009,0.49999999999999994
AK,1482052.41,10.65,32.7,-11.0,294.0,580,570641,94743,665384,60.9,64.9,6,2009,1.2246467991473532e-16
AK,1017333.65,5.8,39.15,28.0,322.0,580,570641,94743,665384,60.9,64.9,7,2009,-0.4999999999999997
AK,114860.3,16.22,17.77,-39.0,289.0,580,570641,94743,665384,60.9,64.9,8,2009,-0.8660254037844384
AK,40.1,8.42,21.2,-61.0,228.0,580,570641,94743,665384,60.9,64.9,9,2009,-1.0
AK,1.2,0.0,11.25,-22.0,117.0,580,570641,94743,665384,60.9,64.9,10,2009,-0.8660254037844386
AK,5.1,20.510133563136343,31.093893383478708,-43.67649101798762,232.60798311691929,580,570641,94743,665384,60.9,64.9,11,2009,-0.5000000000000004
AK,0.5,0.0,0.0,-289.0,-156.0,580,570641,94743,665384,60.9,64.9,3,2010,1.0
AK,1558.9699999999998,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,2010,0.8660254037844387
AK,608126.4,6.217931034482758,38.07827586206896,-25.310344827586206,237.6206896551724,580,570641,94743,665384,60.9,64.9,5,2010,0.49999999999999994
AK,316987.85,13.221034482758622,35.83241379310345,4.206896551724138,293.48275862068965,580,570641,94743,665384,60.9,64.9,6,2010,1.2246467991473532e-16
AK,206614.55,17.70344827586207,31.153103448275864,29.551724137931036,292.1034482758621,580,570641,94743,665384,60.9,64.9,7,2010,-0.4999999999999997
AK,156.7,21.468275862068968,19.91448275862069,-3.3793103448275863,271.7241379310345,580,570641,94743,665384,60.9,64.9,8,2010,-0.8660254037844384
AK,4046.7,18.107241379310345,14.071034482758622,-42.793103448275865,205.6206896551724,580,570641,94743,665384,60.9,64.9,9,2010,-1.0
AK,40.9,6.652857142857143,5.987142857142857,-42.0,111.42857142857143,580,570641,94743,665384,60.9,64.9,10,2010,-0.8660254037844386
AK,0.1,20.510133563136343,31.093893383478708,-43.67649101798762,232.60798311691929,580,570641,94743,665384,60.9,64.9,11,2010,-0.5000000000000004
AL,48.0,45.18,18.29,-28.0,217.0,150,50645,1775,52420,2.7,57.7,1,1992,0.49999999999999994
AL,241.8,35.2,25.85,-39.0,256.0,150,50645,1775,52420,2.7,57.7,2,1992,0.8660254037844386
AL,92.7,21.85,38.96,-39.0,278.0,150,50645,1775,52420,2.7,57.7,3,1992,1.0
AL,610.4,17.51,50.48,-33.0,317.0,150,50645,1775,52420,2.7,57.7,4,1992,0.8660254037844387
AL,204.9,15.44,60.04,39.0,328.0,150,50645,1775,52420,2.7,57.7,5,1992,0.49999999999999994
AL,,37.36,56.95,89.0,344.0,150,50645,1775,52420,2.7,57.7,6,1992,1.2246467991473532e-16
AL,,40.22,57.61,172.0,367.0,150,50645,1775,52420,2.7,57.7,7,1992,-0.4999999999999997
AL,5.1,33.11,47.39,94.0,356.0,150,50645,1775,52420,2.7,57.7,8,1992,-0.8660254037844384
AL,0.1,19.48,41.92,61.0,333.0,150,50645,1775,52420,2.7,57.7,9,1992,-1.0
AL,3.2,18.14,30.34,6.0,289.0,150,50645,1775,52420,2.7,57.7,10,1992,-0.8660254037844386
AL,34.9,37.47,24.04,-50.0,272.0,150,50645,1775,52420,2.7,57.7,11,1992,-0.5000000000000004
AL,12.1,17.71,16.71,-33.0,250.0,150,50645,1775,52420,2.7,57.7,12,1992,-2.4492935982947064e-16
AL,255.6,29.53,17.75,-67.0,239.0,150,50645,1775,52420,2.7,57.7,1,1993,0.49999999999999994
AL,907.9,24.86,27.56,-33.0,244.0,150,50645,1775,52420,2.7,57.7,2,1993,0.8660254037844386
AL,468.7,37.9,35.41,-39.0,294.0,150,50645,1775,52420,2.7,57.7,3,1993,1.0
AL,57.5,20.25,49.66,-33.0,289.0,150,50645,1775,52420,2.7,57.7,4,1993,0.8660254037844387
AL,,29.11,53.68,28.0,328.0,150,50645,1775,52420,2.7,57.7,5,1993,0.49999999999999994
AL,7.2,21.3,62.82,56.0,372.0,150,50645,1775,52420,2.7,57.7,6,1993,1.2246467991473532e-16
AL,219.9,24.12,66.55,133.0,400.0,150,50645,1775,52420,2.7,57.7,7,1993,-0.4999999999999997
AL,65.6,31.02,56.57,111.0,372.0,150,50645,1775,52420,2.7,57.7,8,1993,-0.8660254037844384
AL,103.1,30.55,47.56,28.0,367.0,150,50645,1775,52420,2.7,57.7,9,1993,-1.0
AL,100.3,12.83,33.22,-33.0,317.0,150,50645,1775,52420,2.7,57.7,10,1993,-0.8660254037844386
AL,73.5,18.98,21.06,-67.0,278.0,150,50645,1775,52420,2.7,57.7,11,1993,-0.5000000000000004
AL,77.5,32.14,19.63,-67.0,244.0,150,50645,1775,52420,2.7,57.7,12,1993,-2.4492935982947064e-16
AL,3097.1,30.95,18.77,-33.0,239.0,150,50645,1775,52420,2.7,57.7,1,1994,0.49999999999999994
AL,7595.4,20.27,29.22,-39.0,272.0,150,50645,1775,52420,2.7,57.7,2,1994,0.8660254037844386
AL,16857.3,22.51,42.57,-22.0,300.0,150,50645,1775,52420,2.7,57.7,3,1994,1.0
AL,2217.7,20.9,49.38,-17.0,317.0,150,50645,1775,52420,2.7,57.7,4,1994,0.8660254037844387
AL,1314.0,20.55,57.05,-11.0,328.0,150,50645,1775,52420,2.7,57.7,5,1994,0.49999999999999994
AL,143.0,47.71,52.41,161.0,356.0,150,50645,1775,52420,2.7,57.7,6,1994,1.2246467991473532e-16
AL,108.1,39.49,51.14,106.0,350.0,150,50645,1775,52420,2.7,57.7,7,1994,-0.4999999999999997
AL,104.9,23.9,49.78,139.0,356.0,150,50645,1775,52420,2.7,57.7,8,1994,-0.8660254037844384
AL,338.5,12.85,45.39,56.0,339.0,150,50645,1775,52420,2.7,57.7,9,1994,-1.0
AL,133.8,21.12,30.04,6.0,328.0,150,50645,1775,52420,2.7,57.7,10,1994,-0.8660254037844386
AL,2287.5,10.44,27.3,0.0,283.0,150,50645,1775,52420,2.7,57.7,11,1994,-0.5000000000000004
AL,467.1,11.96,17.66,-28.0,244.0,150,50645,1775,52420,2.7,57.7,12,1994,-2.4492935982947064e-16
AL,1031.0,27.63,22.49,-33.0,239.0,150,50645,1775,52420,2.7,57.7,1,1995,0.49999999999999994
AL,7563.8,28.64,35.76,-33.0,283.0,150,50645,1775,52420,2.7,57.7,2,1995,0.8660254037844386
AL,6523.5,31.34,37.03,-22.0,317.0,150,50645,1775,52420,2.7,57.7,3,1995,1.0
AL,8548.8,25.26,49.34,-11.0,311.0,150,50645,1775,52420,2.7,57.7,4,1995,0.8660254037844387
AL,1261.6,15.94,58.2,22.0,344.0,150,50645,1775,52420,2.7,57.7,5,1995,0.49999999999999994
AL,926.1,22.95,59.41,72.0,361.0,150,50645,1775,52420,2.7,57.7,6,1995,1.2246467991473532e-16
AL,3771.0,31.38,65.59,139.0,389.0,150,50645,1775,52420,2.7,57.7,7,1995,-0.4999999999999997
AL,3270.4,26.7,61.04,172.0,400.0,150,50645,1775,52420,2.7,57.7,8,1995,-0.8660254037844384
AL,3222.2,20.84,53.89,83.0,372.0,150,50645,1775,52420,2.7,57.7,9,1995,-1.0
AL,831.1,14.81,39.2,-11.0,333.0,150,50645,1775,52420,2.7,57.7,10,1995,-0.8660254037844386
AL,437.4,20.0,24.97,-56.0,278.0,150,50645,1775,52420,2.7,57.7,11,1995,-0.5000000000000004
AL,1509.7,38.07,18.35,-50.0,261.0,150,50645,1775,52420,2.7,57.7,12,1995,-2.4492935982947064e-16
AL,1668.4,29.53,22.26,-39.0,244.0,150,50645,1775,52420,2.7,57.7,1,1996,0.49999999999999994
AL,11741.2,22.26,34.29,-33.0,294.0,150,50645,1775,52420,2.7,57.7,2,1996,0.8660254037844386
AL,18572.0,43.06,40.64,-33.0,283.0,150,50645,1775,52420,2.7,57.7,3,1996,1.0
AL,6523.2,23.64,52.36,-39.0,311.0,150,50645,1775,52420,2.7,57.7,4,1996,0.8660254037844387
AL,2928.7,10.18,61.62,17.0,378.0,150,50645,1775,52420,2.7,57.7,5,1996,0.49999999999999994
AL,692.5,22.33,60.51,-144.0,356.0,150,50645,1775,52420,2.7,57.7,6,1996,1.2246467991473532e-16
AL,1402.8,37.14,63.65,122.0,367.0,150,50645,1775,52420,2.7,57.7,7,1996,-0.4999999999999997
AL,377.6,30.02,53.4,117.0,350.0,150,50645,1775,52420,2.7,57.7,8,1996,-0.8660254037844384
AL,46.2,40.69,43.56,50.0,333.0,150,50645,1775,52420,2.7,57.7,9,1996,-1.0
AL,511.3,19.3,31.77,-11.0,306.0,150,50645,1775,52420,2.7,57.7,10,1996,-0.8660254037844386
AL,2389.3,13.98,24.17,-39.0,278.0,150,50645,1775,52420,2.7,57.7,11,1996,-0.5000000000000004
AL,830.0,25.23,21.17,-44.0,267.0,150,50645,1775,52420,2.7,57.7,12,1996,-2.4492935982947064e-16
AL,1595.8,35.3,21.72,-44.0,256.0,150,50645,1775,52420,2.7,57.7,1,1997,0.49999999999999994
AL,2620.1,27.34,22.26,-28.0,278.0,150,50645,1775,52420,2.7,57.7,2,1997,0.8660254037844386
AL,5834.6,15.24,39.08,-11.0,300.0,150,50645,1775,52420,2.7,57.7,3,1997,1.0
AL,3807.7,29.74,48.37,-17.0,289.0,150,50645,1775,52420,2.7,57.7,4,1997,0.8660254037844387
AL,2147.0,28.02,52.38,17.0,322.0,150,50645,1775,52420,2.7,57.7,5,1997,0.49999999999999994
AL,33.9,35.72,47.77,111.0,339.0,150,50645,1775,52420,2.7,57.7,6,1997,1.2246467991473532e-16
AL,105.9,31.21,59.19,161.0,361.0,150,50645,1775,52420,2.7,57.7,7,1997,-0.4999999999999997
AL,127.8,19.62,54.55,122.0,372.0,150,50645,1775,52420,2.7,57.7,8,1997,-0.8660254037844384
AL,2282.7,18.44,50.93,72.0,383.0,150,50645,1775,52420,2.7,57.7,9,1997,-1.0
AL,2799.6,19.73,37.17,-11.0,333.0,150,50645,1775,52420,2.7,57.7,10,1997,-0.8660254037844386
AL,231.8,20.76,20.53,-61.0,261.0,150,50645,1775,52420,2.7,57.7,11,1997,-0.5000000000000004
AL,468.5,20.51,18.08,-78.0,244.0,150,50645,1775,52420,2.7,57.7,12,1997,-2.4492935982947064e-16
AL,835.4,26.77,19.6,-33.0,233.0,150,50645,1775,52420,2.7,57.7,1,1998,0.49999999999999994
